time,building,chillerName,coolingLoad,flowRate,returnTemp,supplyTemp,R2,temperature,cop
2017/1/20 0:00,CP4,1,2889.33834,147.31,11.49,6.82,406,20,7.116597
2017/1/20 1:00,CP4,1,2755.0845,146.75,11.45,6.98,404,17.222222,6.819516
2017/1/20 2:00,CP4,1,2848.70124,146.81,11.58,6.96,453,17.222222,6.288524
2017/1/20 3:00,CP4,1,3070.67796,146.81,11.99,7.01,441,17.777778,6.962989
2017/1/20 9:00,CP4,1,2229.36252,146.63,10.66,7.04,463,20,4.815038
2017/1/20 10:00,CP4,1,3037.09224,146.38,11.95,7.01,415,18.888889,7.318295
2017/1/20 11:00,CP4,1,2455.992,146.19,10.92,6.92,334,18.888889,7.353269
2017/2/25 0:00,CP4,1,2553.94944,146.88,11.05,6.91,296,12.222222,8.628208
2017/2/25 1:00,CP4,1,2057.7375,146.25,10.31,6.96,262,10,7.85396
2017/2/25 2:00,CP4,1,2035.824,146,10.33,7.01,288,10,7.068833
2017/2/25 3:00,CP4,1,2005.05648,146.44,10.21,6.95,271,10,7.398732
2017/2/25 4:00,CP4,1,1977.07356,146.19,10.27,7.05,294,10,6.72474
2017/2/25 5:00,CP4,1,1974.0672,146.88,10.18,6.98,280,11.111111,7.05024
2017/3/2 0:00,CP4,1,3359.55186,147.31,12.43,7,346,20,9.709687
2017/3/2 1:00,CP4,1,2714.58432,146.56,11.41,7,342,18.888889,7.937381
2017/3/2 2:00,CP4,1,2904.19542,146.81,11.81,7.1,402,20,7.224367
2017/3/2 3:00,CP4,1,3079.23,146.63,12,7,405,21.111111,7.603037
2017/3/2 4:00,CP4,1,3168.039,146.75,12.13,6.99,456,22.222222,6.947454
2017/3/2 5:00,CP4,1,3240.027,146.94,12.25,7,429,22.777778,7.55251
2017/3/2 6:00,CP4,1,3243.53904,147.38,12.23,6.99,425,22.777778,7.631857
2017/3/2 7:00,CP4,1,3380.59008,146.88,12.54,7.06,466,22.777778,7.254485
2017/3/2 8:00,CP4,1,3329.235,146.25,12.42,7,423,22.222222,7.870532
2017/3/2 9:00,CP4,1,3225.49248,146.56,12.3,7.06,428,22.222222,7.536197
2017/3/2 10:00,CP4,1,2993.01156,146.63,11.89,7.03,371,21.111111,8.067417
2017/3/2 11:00,CP4,1,2371.13352,145.88,10.72,6.85,354.583333,20,6.687098
2017/3/25 1:00,CP4,1,3312.96,170,11.24,6.6,485,22.222222,6.830845
2017/3/25 2:00,CP4,1,3436.96626,170.13,11.76,6.95,435,23.888889,7.901072
2017/3/25 4:00,CP4,1,3939.82638,169.63,12.45,6.92,510,21.111111,7.72515
2017/3/25 5:00,CP4,1,3482.42328,169.56,11.98,7.09,453,21.111111,7.687469
2017/3/25 6:00,CP4,1,1482.09852,98.57,10.63,7.05,195.416667,18.888889,7.584299
2017/3/29 3:00,CP4,1,4191.70794,200.81,12.02,7.05,538,23.888889,7.791279
2017/3/29 4:00,CP4,1,4551.59628,201.06,12.15,6.76,518,23.888889,8.786865
2017/3/29 5:00,CP4,1,4484.04012,201.06,12.19,6.88,558,25,8.035914
2017/3/29 6:00,CP4,1,4758.44544,200.88,12.38,6.74,540,27.222222,8.811936
2017/3/29 7:00,CP4,1,4880.24292,201.38,12.85,7.08,579,26.111111,8.428744
